review_id,product_name,rating,rating_group,cleaned_review_text,compound_score,sentiment_label,rating_sentiment_match
DEMO-00050,SilkTouch Ceramic Hair Straightener,3,Neutral,"To be completely honest a bout the SilkTouch Ceramic Hair Straightener, the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-50]",0.8122,Positive,False
DEMO-00061,The Pragmatic Programmer: 20th Anniversary,2,Negative,"After reading mixed feedback online, I tried the The Pragmatic Programmer: 20th Anniversary and the finish peeled slightly and response times are slow. Would suggest looking at competitors instead. [Ref: ID-61]",0.0,Neutral,False
DEMO-00062,Vision4K Smart Streaming Dongle,3,Neutral,I have been testing this Vision4K Smart Streaming Dongle for several weeks now and it arrived in standard packaging on schedule. Neither particularly impressed nor disappointed. It functions normally. [Ref: ID-62],0.4112,Positive,False
DEMO-00067,Designing Data-Intensive Applications,2,Negative,I have been testing this Designing Data-Intensive Applications for several weeks now and I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-67],0.0258,Neutral,False
DEMO-00075,HydroFlow Insulated Stainless Water Bottle,4,Positive,"I have been testing this HydroFlow Insulated Stainless Water Bottle for several weeks now and works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-75]",0.0,Neutral,False
DEMO-00077,Designing Data-Intensive Applications,4,Positive,"After extensive daily use of the Designing Data-Intensive Applications, works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-77]",0.0,Neutral,False
DEMO-00079,Vision4K Smart Streaming Dongle,2,Negative,"Right out of the packaging, the Vision4K Smart Streaming Dongle I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-79]",0.4215,Positive,False
DEMO-00080,ChefMaster 8-Piece Japanese Knife Set,3,Neutral,I took a chance on the ChefMaster 8-Piece Japanese Knife Set and it arrived in standard packaging on schedule. Neither particularly impressed nor disappointed. It functions normally. [Ref: ID-80] Check out specs at [URL] for more.,0.2609,Positive,False
DEMO-00083,PureAir HEPA Room Air Purifier,3,Neutral,"Regarding this PureAir HEPA Room Air Purifier, the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-83]",0.5859,Positive,False
DEMO-00087,UltraClean Noise-Cancelling Headphones,3,Neutral,"Here is my honest take on the UltraClean Noise-Cancelling Headphones: a standard item that matches the product description. Nothing fancy, but serves as an acceptable baseline option. [Ref: ID-87]",0.6249,Positive,False
DEMO-00091,TrailBlazer Lightweight Trekking Poles,4,Positive,"My hands-on experience with the TrailBlazer Lightweight Trekking Poles shows that works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-91]",0.0,Neutral,False
DEMO-00093,Vision4K Smart Streaming Dongle,2,Negative,"My hands-on experience with the Vision4K Smart Streaming Dongle shows that worked fine for the first two weeks, then started showing signs of wear and inconsistent behavior. Not really worth the hassle. [Ref: ID-93]",0.3853,Positive,False
DEMO-00097,The Pragmatic Programmer: 20th Anniversary,2,Negative,I have been testing this The Pragmatic Programmer: 20th Anniversary for several weeks now and I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-97],0.0258,Neutral,False
DEMO-00102,HydroFlow Insulated Stainless Water Bottle,2,Negative,"We needed a reliable solution and chose the HydroFlow Insulated Stainless Water Bottle, and worked fine for the first two weeks, then started showing signs of wear and inconsistent behavior. Not really worth the hassle. [Ref: ID-102]",0.2998,Positive,False
DEMO-00111,ProGamer Wireless Mechanical Keyboard,3,Neutral,"To be completely honest about the ProGamer Wireless Mechanical Keyboard, it arrived in standard packaging on schedule. Neither particularly impressed nor disappointed. It functions normally. [Ref: ID-111]",0.5632,Positive,False
DEMO-00114,ChefMaster 8-Piece Japanese Knife Set,3,Neutral,"My hands-on experience with the ChefMaster 8-Piece Japanese Knife Set shows that the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-114]",0.5859,Positive,False
DEMO-00115,ProGamer Wireless Mechanical Keyboard,3,Neutral,"Right out of the packaging, the ProGamer Wireless Mechanical Keyboard the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-115]",0.5859,Positive,False
DEMO-00117,UltraClean Noise-Cancelling Headphones,3,Neutral,"After extensive daily use of the UltraClean Noise-Cancelling Headphones, the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-117]",0.5859,Positive,False
DEMO-00120,SilkTouch Ceramic Hair Straightener,2,Negative,"Somewhat underwhelming : We needed a reliable solution and chose the SilkTouch Ceramic Hair Straightener, and I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-120] Verified buyer.",0.34,Positive,False
DEMO-00126,Botanical Herbals Rejuvenating Night Cream,3,Neutral,"Having ordered the Botanical Herbals Rejuvenating Night Cream last month, does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-126]",0.5961,Positive,False
DEMO-00129,Designing Data-Intensive Applications,2,Negative,"I took a chance on the Designing Data-Intensive Applications and worked fine for the first two weeks, then started showing signs of wear and inconsistent behavior. Not really worth the hassle. [Ref: ID-129]",0.2304,Positive,False
DEMO-00134,PureAir HEPA Room Air Purifier,3,Neutral,"After reading mixed feedback online, I tried the PureAir HEPA Room Air Purifier and does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-134]",0.5961,Positive,False
DEMO-00137,PureAir HEPA Room Air Purifier,3,Neutral,"Regarding this PureAir HEPA Room Air Purifier, the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-137]",0.5859,Positive,False
DEMO-00143,Data Science from Scratch (2nd Edition),2,Negative,"After reading mixed feedback online, I tried the Data Science from Scratch (2nd Edition) and worked fine for the first two weeks, then started showing signs of wear and inconsistent behavior. Not really worth the hassle. [Ref: ID-143]",-0.0214,Neutral,False
DEMO-00144,ApexFit Resistance Band Training Set,2,Negative,Here is my honest take on the ApexFit Resistance Band Training Set: I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-144],0.5267,Positive,False
DEMO-00147,ApexFit Resistance Band Training Set,2,Negative,I took a chance on the ApexFit Resistance Band Training Set and the finish peeled slightly and response times are slow. Would suggest looking at competitors instead. [Ref: ID-147],0.25,Positive,False
DEMO-00151,Designing Data-Intensive Applications,3,Neutral,"My hands-on experience with the Designing Data-Intensive Applications shows that a standard item that matches the product description. Nothing fancy, but serves as an acceptable baseline option. [Ref: ID-151]",0.4497,Positive,False
DEMO-00153,SilkTouch Ceramic Hair Straightener,3,Neutral,"Here is my honest take on the SilkTouch Ceramic Hair Straightener: the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-153]",0.7964,Positive,False
DEMO-00156,AromaBreeze Stainless Steel Espresso Maker,3,Neutral,"We needed a reliable solution and chose the AromaBreeze Stainless Steel Espresso Maker, and does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-156]",0.7332,Positive,False
DEMO-00158,UltraClean Noise-Cancelling Headphones,2,Negative,"We needed a reliable solution and chose the UltraClean Noise-Cancelling Headphones, and the finish peeled slightly and response times are slow. Would suggest looking at competitors instead. [Ref: ID-158]",0.3182,Positive,False
DEMO-00169,ProGamer Wireless Mechanical Keyboard,2,Negative,"Having ordered the ProGamer Wireless Mechanical Keyboard last month, the finish peeled slightly and response times are slow. Would suggest looking at competitors instead. [Ref: ID-169]",0.0,Neutral,False
DEMO-00175,AromaBreeze Stainless Steel Espresso Maker,3,Neutral,I took a chance on the Ar omaBreeze Stainless Steel Espresso Maker and it arrived in standard packaging on schedule. Neither particularly impressed nor disappointed. It functions normally. [Ref: ID-175],0.2609,Positive,False
DEMO-00178,SilkTouch Ceramic Hair Straightener,2,Negative,"I took a chance on the SilkTouch Ceramic Hair Straightener and worked fine for the first two weeks, then started showing signs of wear and inconsistent behavior. Not really worth the hassle. [Ref: ID-178]",0.2304,Positive,False
DEMO-00183,AromaBreeze Stainless Steel Espresso Maker,3,Neutral,"Right out of the packaging, the AromaBreeze Stainless Steel Espresso Maker the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-183]",0.5859,Positive,False
DEMO-00185,Botanical Herbals Rejuvenating Night Cream,2,Negative,"Right out of the packaging, the Botanical Herbals Rejuvenating Night Cream the finish peeled slightly and response times are slow. Would suggest looking at competitors instead. [Ref: ID-185]",0.0,Neutral,False
DEMO-00186,HydraGlow Hyaluronic Acid Facial Serum,3,Neutral,"I have been testing this HydraGlow Hyaluronic Acid Facial Serum for several weeks now and the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-186]",0.5859,Positive,False
DEMO-00192,ApexFit Resistance Band Training Set,3,Neutral,"Regarding this ApexFit Resistance Band Training Set, the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-192]",0.5859,Positive,False
DEMO-00196,Data Science from Scratch (2nd Edition),3,Neutral,"My hands-on experience with the Data Science from Scratch (2nd Edition) shows that the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-196]",0.5859,Positive,False
DEMO-00197,SilkTouch Ceramic Hair Straightener,3,Neutral,"Here is my honest take on the SilkTouch Ceramic Hair Straightener: the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-197]",0.7964,Positive,False
DEMO-00198,Vision4K Smart Streaming Dongle,3,Neutral,"Purchased the Vision4K Smart Streaming Dongle recently after comparing several options, a standard item that matches the product description. Nothing fancy, but serves as an acceptable baseline option. [Ref: ID-198]",0.5859,Positive,False
DEMO-00199,PureAir HEPA Room Air Purifier,2,Negative,"To be completely honest about the PureAir HEPA Room Air Purifier, the finish peeled slightly and response times are slow. Would suggest looking at competitors instead. [Ref: ID-199]",0.5563,Positive,False
DEMO-00204,Designing Data-Intensive Applications,4,Positive,"Having ordered the Designing Data-Intensive Applications last month, works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-204]",0.0,Neutral,False
DEMO-00205,Designing Data-Intensive Applications,4,Positive,"Having ordered the Designing Data-Intensive Applications last month, works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-205]",0.0,Neutral,False
DEMO-00208,ChefMaster 8-Piece Japanese Knife Set,3,Neutral,"After reading mixed feedback online, I tried the ChefMaster 8-Piece Japanese Knife Set and the physical hardware is sleek, beautifully engineered, and premium. Unfortunately the companion app crashes constantly and ruins the experience. [Ref: ID-208]",-0.1531,Negative,False
DEMO-00210,PureAir HEPA Room Air Purifier,3,Neutral,Ordinary product without highlights : My hands-on experience with the PureAir HEPA Room Air Purifier shows that does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-210] Verified buyer.,0.5961,Positive,False
